MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037119E,BARCAD_23_31H_2H,Barricade 23-31H 2H,1/30/2021,142.1951,155.0991549,56.59945213,33.23661106
49037121E,BARCAD_23_31H_3H,Barricade 23-31H 3H,1/30/2021,735.6927,343.4470181,-6.513561076,196.9558861
49037122E,BARCAD_24_36_CP,Barricade 24-36 CP,1/30/2021,,,,
49037124E,BARCAD_24_36_S1LH_1,Barricade 24-36 S1LH 1,1/30/2021,302.8132,,,57.85655644
49037134E,BARCAD_24_36_S2MH_1,Barricade 24-36 S2MH 1,1/30/2021,707.9922,,,62.4929321
49037133E,BARCAD_32_NE_6D,Barricade 32 NE-6D,1/30/2021,168.3733,,,25.4335555
49037145E,BARCAD_41_6_CP,Barricade 41-6 CP,1/30/2021,1839.418,,,195.0705332
49037128E,BARCAD_41_6_LH_2,Barricade 41-6 LH 2,1/30/2021,872.3928,,,31.31133447
49037132E,BARCAD_41_6_MH_2,Barricade 41-6 MH 2,1/30/2021,766.2638,,,28.90473699
49037143E,BARCAD_41_SW_6D,Barricade 41 SW-6D,1/30/2021,164.4065,,,25.23099568
49037097E,BARCAD_S31_1116_CP,Barricade 1595-S31-11V-16V Check,1/30/2021,1376.001,,,192.9540032
49037150E,BARCAD_UNIT_11_7,Barricade Unit 11-7,1/30/2021,,,,
49037151E,BARCAD_UNIT_14_1_CP,Barricade Unit 14-1 CP,1/30/2021,712.0938,,,228.2448093
49037152E,BARCAD_UNIT_14_1H_1,Barricade Unit 14-1H 1,1/30/2021,637.824,,,85.7262706
49037153E,BARCAD_UNIT_14_1V,Barricade Unit 14-1V,1/30/2021,142.8,,,371.3747603
49037110E,BARCAD_UNIT_24_36,Barricade Unit 24-36,1/30/2021,131.74,,,61.40076957
49037149E,BARCAD_UNIT_44_1S2M,BARRICADE 44-1 SWD BB,1/30/2021,15.17321,,,119.3879311
49037159E,CEPO_FEDERAL_03_19ST,Cepo Federal  03-19ST,1/30/2021,,,,
49037166E,CEPO_FEDERAL_20_17,Cepo Federal  20-17,1/30/2021,1084.699,,,215.7775305
49037167E:49037168E,CEPO_FEDERAL_23_07_M,Cepo Federal  23-07 M,1/30/2021,151.7973,,,223.0492222
49037193E,ENDUR_41_29_CP,Endurance 41-29 CP,1/30/2021,,,,
49037194E,ENDUR_41_29_S1LH_2,Endurance 41-29 S1LH 2,1/30/2021,229.4153,,,71.50976947
49037195E,ENDUR_41_29_S1MH_2,Endurance 41-29 S1MH 2,1/30/2021,151.1634,,,63.77229306
49037196E,ENDUR_41_29_S1UH_2,Endurance 41-29 S1UH 2,1/30/2021,595.1939,,,65.96655582
49037174E:49037173E,ENDUR_S29_18V_ALL,Endurance S29 18V Allocation,1/30/2021,311.7109,,,70.70043127
49037178E:49037190E,ENDUR_S29_29V_ALL,Endurance S29 29V Allocation,1/30/2021,135.357,,,54.41337279
49037179E:49037181E,ENDUR_S32_13V_ALL,Endurance S32 13V Allocation,1/30/2021,161.5312,,,59.85031767
49037179E:49037184E,ENDUR_S32_19V_ALL,Endurance S32 19V Allocation,1/30/2021,139.3237,,,66.71783121
49037179E:49037185E,ENDUR_S32_21V_ALL,Endurance S32 21V Allocation,1/30/2021,149.6418,,,52.94210338
49037180E,ENDUR_S32_25V_ALL,Endurance S32 25V Allocation,1/30/2021,210.4029,,,66.54801418
49037182E,ENDUR_S32_26V_ALL,Endurance S32 26V Allocation,1/30/2021,516.0235,,,181.0243437
49037201S,ENDUR_S32_7WP_CK,Endurance S32 1595 Sales Check,1/30/2021,1417.609,,,189.5148414
49037198E,ENDUR_S32_7WP_CMP1,Endurance S32 1595 Comp.1,1/30/2021,619.8411,,,194.6739581
49037199S,ENDUR_S32_7WP_CMP2,Endurance S32 1595 Comp.2,1/30/2021,485.0544,,,194.5902161
49037200S,ENDUR_S32_7WP_FG,Endurance S32 1595 Fuel Gas,1/30/2021,137.1428,,,101.9621881
49037204S,ENDUR_UNIT_21_32,Endurance Unit 21-32,1/30/2021,11.50205,,,47.60103493
49037202S,ENDUR_UNIT_23_5,Endurance Unit  23-5,1/30/2021,153.6606,,,384.1862995
49037219E,ENDUR_UNIT_23_5_GL,Endurance 23-5 Gas Lift Meter,1/30/2021,571.5845,,,385.2940362
49037206E,ENDUR_UNIT_44_29,Endurance Unit 44-29,1/30/2021,127.7881,,,188.5337323
49037203S,ENDUR_UNIT_44_32,Endurance Unit  44-32,1/30/2021,183.3323,,,72.3288929
49037210E,MANCMP_FTUN_CK,ManCamp Sales Check,1/30/2021,5501.386,,,226.0268344
49037209E,MANCMP_FTUN_FG,ManCamp Fuel Gas,1/30/2021,31.75129,,,108.0803609
49037211S,MANCMP_FTUN_VRU,ManCamp VRU,1/30/2021,0,,,11.43664796
49037212S,MANCMP_S08_23V_ALL,FTUN 1495 S08-23V Allocation,1/30/2021,1645.22,727.9608825,222.7997393,216.0607453
49037213S,MANCMP_S08_24V_ALL,FTUN 1495 S08-24V Allocation,1/30/2021,1092.345,449.0688614,219.3477666,215.8774157
49037214S,MANCMP_S17_02V_ALL,FTUN 1495 S17-02V Allocation,1/30/2021,1421.107,486.2360935,222.4248779,215.7854357
49037215E,MANCMP_S17_03V_ALL,FTUN 1495 S17-03V Allocation,1/30/2021,1355.584,507.4815056,221.9084288,215.8507662
49037216E,POLAR_BAR_2,Polar Bar 2,1/30/2021,252.7231,,,183.0993213
49037217E,POWDER_MNT_34_26S2SR,Powder Mnt  34-26 s2sr,1/30/2021,70.15234,,,389.8613709
49037218E,WEST_SLOPE_33_32,West Slope  33-32,1/30/2021,77.33189,,,177.344823
