Date,Site Name,Total Gas Production,Gas Sales
2/3/2021,ENDURANCE 1595 S32-21V,159.61,0
2/3/2021,ENDURANCE 1595 S32-25V,237.31,0
2/3/2021,ENDURANCE 1595 S32-26V,567.79,0
2/3/2021,ENDURANCE 1595-S32-29S NW1 CP,1563.66,1424
2/3/2021,ENDURANCE 21-32,12.67,0
2/3/2021,ENDURANCE 41-29S1 CP,876.69,0
2/3/2021,ENDURANCE 41-29S1LH,237.85,0
2/3/2021,ENDURANCE 41-29S1MH,156.18,0
2/3/2021,ENDURANCE 41-29S1UH,592,0
2/3/2021,ENDURANCE 42-10 INJ INFO ONLY,,
2/3/2021,ENDURANCE 42-30-1V,72,0
2/3/2021,ENDURANCE 44-32,193.24,0
2/3/2021,ENDURANCE UNIT 23-5,147.67,0
2/3/2021,ENDURANCE UNIT 42-5,148,148
2/3/2021,ENDURANCE UNIT 44-29,113.86,0
2/3/2021,ENDURANCE/WEST SLOPE 32 CP,148,148
2/3/2021,FTUN 1495 S08-23V,1689.92,0
2/3/2021,FTUN 1495 S08-24V,1105.39,0
2/3/2021,FTUN 1495 S08-SW1 CP,5635.51,0
2/3/2021,FTUN 1495 S17-02V,1408.73,0
2/3/2021,FTUN 1495 S17-03V,1350.08,0
2/3/2021,PM-PB-05V-16V CP,655,655
2/3/2021,POLAR BAR 2,260.71,0
2/3/2021,POWDER MOUNTAIN UNIT 34-26X,59.26,59.26
2/3/2021,WEST SLOPE UNIT 33-32,81.51,0
2/4/2021,BARRICADE 11-7,224,224
2/4/2021,BARRICADE 14-01V,132.83,0
2/4/2021,BARRICADE 1496-S26-05V,164.54,164.54
2/4/2021,BARRICADE 1496-S26-16V,210.16,210.16
2/4/2021,BARRICADE 1595-S31 CP,1364.3,0
2/4/2021,BARRICADE 1595-S31-11V,466.12,0
2/4/2021,BARRICADE 1595-S31-16V,954.83,0
2/4/2021,BARRICADE 21-11N1MH,225.43,0
2/4/2021,BARRICADE 22-06 CP,532.69,0
2/4/2021,BARRICADE 22-06-4H,382.38,0
2/4/2021,BARRICADE 22-06-5H,242.93,0
2/4/2021,BARRICADE 23-31 CP,844.5,0
2/4/2021,BARRICADE 23-31-2H,146.63,0
2/4/2021,BARRICADE 23-31-3H,750.89,0
2/4/2021,BARRICADE 24-36 CP,1048,0
2/4/2021,BARRICADE 24-36S1LH,296.67,0
2/4/2021,BARRICADE 24-36S2MH,702.91,0
2/4/2021,BARRICADE 32NE-6D,170.91,170.91
2/4/2021,BARRICADE 34-24V,123,0
2/4/2021,BARRICADE 41-01,93,0
2/4/2021,BARRICADE 41-6 5 CP,1757.47,0
2/4/2021,BARRICADE 41-6S1LH,820.16,0
2/4/2021,BARRICADE 41-6S1MH,725.25,0
2/4/2021,BARRICADE 41SW-6D,162.23,0
2/4/2021,BARRICADE 41SW/32NE TB,,
2/4/2021,BARRICADE UNIT 14-01 CP,673.98,0
2/4/2021,BARRICADE UNIT 14-01H,616.43,0
2/4/2021,BARRICADE UNIT 24-36,137.15,0
2/4/2021,BARRICADE UNIT 33-12,112,112
2/4/2021,BARRICADE UNIT 44-1 SWD INFO ONLY,0,0
2/4/2021,CEPO FEDERAL 20-17,1083.01,0
2/4/2021,CEPO FEDERAL 23-7,155,0
2/4/2021,CEPO FEDERAL 3-19ST,0,0
2/4/2021,ENDURANCE 11-21-1V,40,0
2/4/2021,ENDURANCE 1595 S29-18V,314.22,0
2/4/2021,ENDURANCE 1595 S29-29V,141.75,0
2/4/2021,ENDURANCE 1595 S32-13V,180.55,0
2/4/2021,ENDURANCE 1595 S32-19V,153.47,0
2/4/2021,ENDURANCE 1595 S32-21V,173.99,0
2/4/2021,ENDURANCE 1595 S32-25V,237.72,0
2/4/2021,ENDURANCE 1595 S32-26V,473.16,0
2/4/2021,ENDURANCE 1595-S32-29S NW1 CP,1446.96,1317
2/4/2021,ENDURANCE 21-32,5.87,0
2/4/2021,ENDURANCE 41-29S1 CP,889.7,0
2/4/2021,ENDURANCE 41-29S1LH,244.65,0
2/4/2021,ENDURANCE 41-29S1MH,160.32,0
2/4/2021,ENDURANCE 41-29S1UH,593.8,0
2/4/2021,ENDURANCE 42-10 INJ INFO ONLY,,
2/4/2021,ENDURANCE 42-30-1V,56,0
2/4/2021,ENDURANCE 44-32,172.12,0
2/4/2021,ENDURANCE UNIT 23-5,150.08,0
2/4/2021,ENDURANCE UNIT 42-5,132,132
2/4/2021,ENDURANCE UNIT 44-29,111.27,0
2/4/2021,ENDURANCE/WEST SLOPE 32 CP,147,147
2/4/2021,FTUN 1495 S08-23V,1660.56,0
2/4/2021,FTUN 1495 S08-24V,1069.5,0
2/4/2021,FTUN 1495 S08-SW1 CP,5627.37,0
2/4/2021,FTUN 1495 S17-02V,1370,0
2/4/2021,FTUN 1495 S17-03V,1309.37,0
2/4/2021,PM-PB-05V-16V CP,636,636
2/4/2021,POLAR BAR 2,259.52,0
2/4/2021,POWDER MOUNTAIN UNIT 34-26X,22.3,22.3
2/4/2021,WEST SLOPE UNIT 33-32,51.58,0
2/5/2021,BARRICADE 11-7,214,214
2/5/2021,BARRICADE 14-01V,115.29,0
2/5/2021,BARRICADE 1496-S26-05V,160.74,160.74
2/5/2021,BARRICADE 1496-S26-16V,202.56,202.56
2/5/2021,BARRICADE 1595-S31 CP,1323.16,0
2/5/2021,BARRICADE 1595-S31-11V,458.09,0
2/5/2021,BARRICADE 1595-S31-16V,927.5,0
2/5/2021,BARRICADE 21-11N1MH,238.26,0
2/5/2021,BARRICADE 22-06 CP,524.32,0
2/5/2021,BARRICADE 22-06-4H,383.85,0
2/5/2021,BARRICADE 22-06-5H,235.11,0
2/5/2021,BARRICADE 23-31 CP,866.22,0
2/5/2021,BARRICADE 23-31-2H,182.44,0
2/5/2021,BARRICADE 23-31-3H,747.58,0
2/5/2021,BARRICADE 24-36 CP,1049,0
2/5/2021,BARRICADE 24-36S1LH,296.89,0
2/5/2021,BARRICADE 24-36S2MH,692.26,0
2/5/2021,BARRICADE 32NE-6D,163.28,163.28
2/5/2021,BARRICADE 34-24V,116,0
2/5/2021,BARRICADE 41-01,94,0
2/5/2021,BARRICADE 41-6 5 CP,1737.85,0
2/5/2021,BARRICADE 41-6S1LH,837.3,0
2/5/2021,BARRICADE 41-6S1MH,712.64,0
2/5/2021,BARRICADE 41SW-6D,152.88,0
2/5/2021,BARRICADE 41SW/32NE TB,,
2/5/2021,BARRICADE UNIT 14-01 CP,657.6,0
2/5/2021,BARRICADE UNIT 14-01H,613.75,0
2/5/2021,BARRICADE UNIT 24-36,146.02,0
